keys,ru
"Hold the Line","Держать строй"
"Contract: Iron Giant","Контракт: Железный гигант"
"Contract: Data Broker","Контракт: Торговец данными"
"Contract: Last Stand","Контракт: Последний рубеж"
"Extract from a raid today.","Эвакуируйтесь из рейда сегодня."
"Extract an Artifact from a raid today.","Вывезите артефакт из рейда сегодня."
"Destroy 3 Heavy robots in a single raid.","Уничтожьте 3 тяжёлых роботов за один рейд."
"Destroy 8 robots today.","Уничтожьте 8 роботов сегодня."
"Pick up 10 items in a single raid.","Подберите 10 предметов за один рейд."
"Survive until wave 3 in a single raid.","Доживите до 3-й волны за один рейд."
"Successfully extract from 3 raids. Reward unlocks the Ammo Box blueprint.","Успешно эвакуируйтесь из 3 рейдов. Награда откроет чертёж ящика патронов."
"Traders want physical evidence. Extract with 2 Anomalous Artifacts still in your inventory.","Торговцам нужны вещественные доказательства. Эвакуируйтесь с 2 аномальными артефактами в инвентаре."
"Bring down the Bastion Prime. One kill is all it takes — but that one will be earned.","Завалите Бастион-Прайм. Достаточно одного убийства — но его придётся заслужить."
"Wasps are fast, fragile scouts — prove you can deal with them. Destroy 5 Wasps across your raids.","Осы — быстрые и хрупкие разведчики. Докажите, что справитесь: уничтожьте 5 ос за любые рейды."
"Destroy 10 robots across your raids.","Уничтожьте 10 роботов за любые рейды."
"Recover 3 Data Chips from the ruins. The machines guard their secrets well.","Добудьте 3 чипа данных из руин. Машины хорошо стерегут свои секреты."
"Survive long enough to see Wave 5. The machines send their heaviest units then — be ready.","Доживите до 5-й волны. Тогда машины бросают в бой самые тяжёлые силы — будьте готовы."
"Destroy the Bastion boss 3 times across any number of raids.","Уничтожьте босса Бастиона 3 раза за любое число рейдов."
"Extract 5 Data Chips across any number of raids.","Вывезите 5 чипов данных за любое число рейдов."
"Survive until wave 5 in a single raid.","Доживите до 5-й волны за один рейд."
"Vitality","Живучесть"
"+6% max health / level","+6% макс. здоровья / уровень"
"Scavenger","Мародёр"
"+8% loot value / level","+8% ценности лута / уровень"
"Endurance","Выносливость"
"+8% stamina / level","+8% выносливости / уровень"
"Gunner","Стрелок"
"+4% weapon damage / level","+4% урона оружия / уровень"
"Free SMG","Бесплатный ПП"
"+25 Stash Capacity","+25 к вместимости схрона"
"+500 Credits","+500 кредитов"
"Free DMR","Бесплатная марксманка"
"Reinforced Frame","Усиленный каркас"
"+8% max health per level","+8% макс. здоровья за уровень"
"Quick Hands","Ловкие руки"
"-7% reload time per level","-7% времени перезарядки за уровень"
"Conditioning","Закалка"
"+10% stamina per level","+10% выносливости за уровень"
"Calibrated Barrels","Калиброванные стволы"
"+6% weapon damage per level","+6% урона оружия за уровень"
"Stash Expansion","Расширение схрона"
"+25 stash weight capacity per level","+25 кг вместимости схрона за уровень"
"Mastery","Мастерство"
"+5% damage / level","+5% урона / уровень"
"Recoil Control","Контроль отдачи"
"-8% recoil / level","-8% отдачи / уровень"
"Fast Hands","Быстрые руки"
"-6% reload / level","-6% перезарядки / уровень"
"Extended Feed","Расширенная подача"
"+3 mag / level","+3 к магазину / уровень"
"Common","Обычный"
"Uncommon","Необычный"
"Rare","Редкий"
"Epic","Эпический"
"Legendary","Легендарный"
"Window Mode","Режим окна"
"Resolution","Разрешение"
"VSync","Верт. синхронизация"
"Anti-Aliasing (MSAA)","Сглаживание (MSAA)"
"Shadow Quality","Качество теней"
"Field of View","Поле зрения"
"Quality Preset","Пресет качества"
"Master Volume","Общая громкость"
"SFX Volume","Громкость эффектов"
"Mute All","Без звука"
"Mouse Sensitivity","Чувствительность мыши"
"Invert Y Axis","Инвертировать ось Y"
"Aim Mode","Режим прицеливания"
"KEYBINDS","КЛАВИШИ"
"Move","Движение"
"Sprint","Спринт"
"Jump","Прыжок"
"Fire","Огонь"
"Aim","Прицел"
"Reload","Перезарядка"
"LMB","ЛКМ"
"RMB","ПКМ"
"DIFFICULTY","СЛОЖНОСТЬ"
"EXTRACTING","ИДЁТ ЭВАКУАЦИЯ"
"LOADOUT  (max 3 weapons)","СНАРЯЖЕНИЕ  (макс. 3 оружия)"
"LOADOUT // UPGRADES // DEPLOYMENT","СНАРЯЖЕНИЕ // УЛУЧШЕНИЯ // ВЫСАДКА"
"PERMANENT UPGRADES","ПОСТОЯННЫЕ УЛУЧШЕНИЯ"
"Stash empty — extract loot to fill it","Схрон пуст — вывозите лут, чтобы его наполнить"
"Total value: 0","Общая цена: 0"
"0.0 / 0.0 kg","0.0 / 0.0 кг"
"Reward: ","Награда: "
"Next tier reward: ","Награда за следующий ранг: "
"ip  or  ip:port","ip  или  ip:port"
"VISUAL FX","ВИЗУАЛЬНЫЕ ЭФФЕКТЫ"
"UI Glass FX","Стеклянные эффекты"
"Scanlines, grain & frosted-glass blur behind menus","Развёртка, зерно и матовое размытие за меню"
"Port %d is busy — close any other running copy of the game and try again.","Порт %d занят — закройте другой запущенный экземпляр игры и повторите."
"DOWNED — bleeding out","СБИТ — истекаешь кровью"
"Crawl (WASD) to cover or an OPEN evac to escape","Ползи (WASD) в укрытие или в ОТКРЫТУЮ зону эвакуации"
"[H] Self-Revive","[H] Самоподъём"
"teammate can revive you","союзник может поднять"
"hold [X] to give up","зажми [X] — сдаться"
"GIVING UP…","СДАЁШЬСЯ…"
"Difficulty: %s","Сложность: %s"
"RESTART SQUAD","ЗАНОВО ОТРЯДОМ"
"Open Power Cache","Открыть сундук силы"
"POWER CACHE","СУНДУК СИЛЫ"
"ACTIVATED!","АКТИВИРОВАНО!"
"POWER CACHES (unlock to roll)","СУНДУКИ СИЛЫ (открой для выпадения)"
"FREE","ДОСТУПНО"
"OWNED","КУПЛЕНО"
"%d SP","%d ОН"
"Berserk","Берсерк"
"Rapid Fire","Скорострел"
"Swift","Ускорение"
"Overshield","Сверхщит"
"Regen","Регенерация"
"Lifesteal","Вампиризм"
"Juggernaut","Джаггернаут"
"Adrenaline","Адреналин"
"Frenzy","Ярость"
"+60% weapon damage","+60% урона оружия"
"+45% fire rate","+45% скорострельности"
"+35% move speed","+35% скорости"
"Absorb 90 damage","Поглощает 90 урона"
"Heal 9 HP/sec","Лечит 9 HP/сек"
"Heal 30% of damage dealt","Лечит 30% нанесённого урона"
"−45% damage taken","−45% получаемого урона"
"Infinite stamina + reload","Бесконечная стамина + перезарядка"
"+40% damage, fire & speed","+40% урон, скорострел и скорость"
"Smoke Grenade","Дымовая граната"
"EMP Grenade","ЭМИ-граната"
"Noise Decoy","Шумовая приманка"
"Deploys a thick smoke cloud that blocks robot line of sight. Break contact and reposition.","Ставит густое дымовое облако, блокирующее обзор роботов. Разорви контакт и смени позицию."
"Electromagnetic pulse that stuns every robot in range. No damage, but buys you precious seconds.","Электромагнитный импульс станит всех роботов в радиусе. Без урона, но даёт драгоценные секунды."
"A blinking beacon that chirps loud pulses, luring robots away to investigate while you slip past.","Мигающий маяк с громкими импульсами уводит роботов на проверку, пока ты проскальзываешь мимо."
"Auto-Turret","Авто-турель"
"Shield Dome","Щит-купол"
"Motion Sensor","Датчик движения"
"Deployable sentry gun. Auto-fires at the nearest enemy in line of sight. Lasts a while, then burns out — and enemies can destroy it.","Разворачиваемая турель. Сама стреляет по ближайшему врагу в зоне видимости. Работает недолго, и враги могут её уничтожить."
"Deployable energy bubble. Halves damage to allies standing inside it. Buys your squad a few seconds of cover.","Разворачиваемый энергокупол. Вдвое снижает урон по союзникам внутри. Даёт отряду несколько секунд укрытия."
"Deployable scanner. Periodically tags nearby enemies with a marker you can see through walls. Know what's coming.","Разворачиваемый сканер. Периодически помечает врагов рядом маркером, видимым сквозь стены. Знай, что приближается."
"Ride zipline [E]","Прокатиться по тросу [E]"
"Siege","Осада"
"Siege! Hold the position against the waves.","Осада! Удержи позицию против волн."
"Position held — the siege breaks!","Позиция удержана — осада сломлена!"
"The position was overrun","Позиция захвачена"
"MUTATOR: %s","МУТАТОР: %s"
"Fog","Туман"
"Double Loot","Двойной лут"
"Elite Patrols","Элитные патрули"
"Night Raid","Ночной рейд"
"Unlock [hold E]","Отпереть [держать E]"
"Requires %s","Требуется %s"
"Annex unlocked","Пристройка открыта"
"Pay %d cr to call extraction [hold E]","Заплатить %d кр за вызов эвакуации [держать E]"
"Calling extraction… %d%%","Вызов эвакуации… %d%%"
"Requires a Signal Flare","Нужна сигнальная ракета"
"Fire signal flare [hold E]","Запустить сигнальную ракету [держать E]"
"Firing signal flare… %d%%","Запуск ракеты… %d%%"
"Not enough credits","Недостаточно кредитов"
"Extraction called","Эвакуация вызвана"
"Tower Key","Ключ от башни"
"Lodge Key","Ключ от лоджа"
"Temple Key","Ключ от храма"
"Signal Flare","Сигнальная ракета"
"A heavy keycard that unlocks the sealed storage annex at the North Tower.","Тяжёлая карта-ключ, открывающая запертую пристройку-хранилище у Северной башни."
"A frost-bitten keycard that unlocks the sealed storage annex at the Alpine Lodge.","Обмёрзшая карта-ключ, открывающая запертую пристройку-хранилище у Альпийского лоджа."
"A jade-inlaid keycard that unlocks the sealed storage annex at the Temple.","Инкрустированная нефритом карта-ключ, открывающая запертую пристройку-хранилище у Храма."
"Burn it at a signal-extraction beacon to call evac — but the smoke draws every robot in the area.","Зажги её у сигнального маяка эвакуации, чтобы вызвать эвак — но дым привлечёт всех роботов в округе."
"Unequip","Снять"
"BROKEN","СЛОМАНО"
"INSURE (CR %d)","ЗАСТРАХОВАТЬ (CR %d)"
"INSURED","ЗАСТРАХОВАНО"
"REPAIR (CR %d)","ПОЧИНИТЬ (CR %d)"
"returns in %s","вернётся через %s"
"ready — claim in Hub","готово — заберите в Хабе"
"Secure","В сейф-карман"
"Unsecure","Из сейф-кармана"
"Too heavy to secure","Слишком тяжёлое для кармана"
"Pouch full","Карман полон"
"SECURE %d/%d","СЕЙФ %d/%d"
"Secured items survive death (deposited with no bonus)","Вещи в сейф-кармане переживают смерть (зачисляются без бонуса)"
"BLEEDING","КРОВОТЕЧЕНИЕ"
"FRACTURE","ПЕРЕЛОМ"
"PAINKILLER","ОБЕЗБОЛИВАЮЩЕЕ"
"Insurance returned %d item(s)","Страховка вернула предметов: %d"
"Secured items recovered","Вещи из сейф-кармана возвращены"
"Scout Helmet","Шлем разведчика"
"Assault Helmet","Штурмовой шлем"
"Scrap Vest","Жилет из лома"
"Composite Vest","Композитный жилет"
"Field Pack","Полевой рюкзак"
"Expedition Pack","Экспедиционный рюкзак"
"Lightweight salvaged headgear. Blocks 10% of incoming damage until it cracks.","Лёгкий трофейный шлем. Блокирует 10% входящего урона, пока не треснет."
"Reinforced combat helmet. Blocks 15% of incoming damage and takes more punishment than scrap headgear.","Усиленный боевой шлем. Блокирует 15% входящего урона и держит больше ударов, чем самодельный."
"Plates bolted onto a harness. Blocks 20% of incoming damage until the plates fail.","Пластины, прикрученные к разгрузке. Блокируют 20% входящего урона, пока не откажут."
"Layered composite body armor. Blocks 30% of incoming damage and endures a sustained firefight.","Многослойная композитная броня. Блокирует 30% входящего урона и переживает затяжной бой."
"A sturdy field backpack. Adds 15 to your carry weight with no movement penalty.","Прочный полевой рюкзак. +15 к переносимому весу без штрафа к скорости."
"A massive hauler's pack. Adds 30 to your carry weight but slows you down by 7%.","Огромный грузовой рюкзак. +30 к переносимому весу, но замедляет на 7%."
"Bandage","Бинт"
"Splint","Шина"
"Painkillers","Обезболивающие"
"Stops bleeding.","Останавливает кровотечение."
"Sets a fractured limb so you can run and sprint again.","Фиксирует перелом — снова можно бегать и спринтовать."
"Masks injury penalties for a while. The injury itself remains.","На время маскирует штрафы от травм. Сама травма остаётся."
